id,name,price,category,brand,description
1,OutdoorLiving Lite 텐트,68.7,텐트,OutdoorLiving,내구성 있는 폴리에스터로 제작된 텐트입니다. 방수 기능과 우수한 통풍성을 제공합니다.
2,HikeMate X 배낭,251.0,배낭,HikeMate,"인체공학적 디자인의 배낭으로, 여러 수납공간과 경량 구조를 갖추고 있습니다."
3,SitWell Pro 캠핑 의자,108.9,캠핑 의자,SitWell,"접이식 구조로 휴대가 간편하며, 튼튼한 프레임과 편안한 등받이를 갖추고 있습니다."
4,FireGear Pro 취사 도구,288.9,취사 도구,FireGear,야외 요리를 위한 경량 스테인리스 조리도구 세트입니다.
5,FoldX Max 캠핑 의자,249.6,캠핑 의자,FoldX,"접이식 구조로 휴대가 간편하며, 튼튼한 프레임과 편안한 등받이를 갖추고 있습니다."
6,FireGear Plus 취사 도구,55.1,취사 도구,FireGear,야외 요리를 위한 경량 스테인리스 조리도구 세트입니다.
7,PeakWear Plus 등산 의류,217.3,등산 의류,PeakWear,"방풍 및 발수 기능이 있는 재킷으로, 조절 가능한 후드와 지퍼 포켓을 제공합니다."
8,PackSmart Max 배낭,202.5,배낭,PackSmart,"인체공학적 디자인의 배낭으로, 여러 수납공간과 경량 구조를 갖추고 있습니다."
9,PackSmart Lite 배낭,51.3,배낭,PackSmart,"인체공학적 디자인의 배낭으로, 여러 수납공간과 경량 구조를 갖추고 있습니다."
10,MountainStyle Lite 등산 의류,120.8,등산 의류,MountainStyle,"방풍 및 발수 기능이 있는 재킷으로, 조절 가능한 후드와 지퍼 포켓을 제공합니다."
11,FireGear Max 취사 도구,34.3,취사 도구,FireGear,야외 요리를 위한 경량 스테인리스 조리도구 세트입니다.
12,FireGear Plus 취사 도구,103.8,취사 도구,FireGear,야외 요리를 위한 경량 스테인리스 조리도구 세트입니다.
13,GlowLite Plus 랜턴,81.8,랜턴,GlowLite,"충전식 배터리를 사용하며, 다양한 밝기 조절 기능을 제공합니다."
14,BrightPath Lite 랜턴,208.0,랜턴,BrightPath,"충전식 배터리를 사용하며, 다양한 밝기 조절 기능을 제공합니다."
15,TrailPro Max 텐트,261.1,텐트,TrailPro,내구성 있는 폴리에스터로 제작된 텐트입니다. 방수 기능과 우수한 통풍성을 제공합니다.
16,FoldX Plus 캠핑 의자,214.8,캠핑 의자,FoldX,"접이식 구조로 휴대가 간편하며, 튼튼한 프레임과 편안한 등받이를 갖추고 있습니다."
17,FoldX Lite 캠핑 의자,48.5,캠핑 의자,FoldX,"접이식 구조로 휴대가 간편하며, 튼튼한 프레임과 편안한 등받이를 갖추고 있습니다."
18,CampKing Plus 텐트,147.7,텐트,CampKing,내구성 있는 폴리에스터로 제작된 텐트입니다. 방수 기능과 우수한 통풍성을 제공합니다.
